Внутренняя нумерация,Дата отгрузки,№ Заказа,Клиент,Номенклатура,Профиль,Марка,Размер мм.,Длина,Кол-во тн в заказе,ИТОГО остаток к выполнению,Взято со склада (тн),ИТОГО остатка к завершению,Тех. отходы 2,Дел. Остатки 2,КИМ 2,Исходная Номенклатура/ наличие,Профиль,НТД,Марка стали,Размер,Длина,Исх. Остаток ст. (тн),Взято из остатка (тн),Свободный остаток (тн),Тех. отходы 3,Дел. Остатки 3,КИМ 3,ИТОГО остатка к завершению 3,Исходная Номенклатура/ ожидание,Профиль,Марка,Размер,Кол-во тн.,Длина,Дата размещения,Поставщик,Ожидаемая дата поставки
311,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 26,0мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,26,НД,8,"5,314",0,"5,483",0,0,0,,,,,,,,,,,,,,,,,,,,,,
313,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.20 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.20,28,НД,2,2,0,"2,064",0,0,0,,,,,,,,,,,,,,,,,,,,,,
314,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.35 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.35,28,НД,8,"6,408","6,611",0,"0,193","0,01","0,969","Круг г/к 30,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,30,МД 6000,"0,50","0,50","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 30,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,30,МД 6000,"7,80","6,12","1,68",,,,,,,,,,,,,
315,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 28,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,28,НД,16,"14,262","12,216","2,499","0,43","0,023","0,969","Круг г/к 30,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,30,МД 6000,"1,44","1,44","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 30,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,30,МД 6000,"4,97","4,97","0,00",,,,,,,,,,,,,
,,,,,,,,,,,,,,,,"Круг г/к 30,0мм ст.45 В1 2ГП НД,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,30,НД,"5,81","5,81","0,00",,,,,,,,,,,,,
317,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 30,0мм ст.45 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.45,30,НД,30,"28,078","2,284","26,685","0,846","0,045","0,969","Круг г/к 32,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,32,МД 6000,"2,28","2,28","0,00",,,,,,,,,,,,,
318,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 32,0мм ст.35 h11 Б НГ Н/Д консервация без упаковки",Круг,ст.35,32,НД,8,"0,978","1,009",0,"0,029","0,002","0,969","Круг г/к 34,0мм ст.35 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.35,34,МД 6000,"1,71","1,01","0,71",,,,,,,,,,,,,
319,10.04.2026,АР-081/0009,"ОАО ""МТЗ""","ГОСТ 1050-2013/ГОСТ 7417-75 круг 32,0мм ст.45 h11 Б НГ Н/Д 183-229 НВ консервация без упаковки",Круг,ст.45,32,НД,10,"4,297","2,399","2,034","0,129","0,007","0,969","Круг г/к 34,0мм ст.45 В1 2ГП МД 6000,",круг,ГОСТ 1050-2013 / ГОСТ 2590-2006,ст.45,34,МД 6000,"1,72","1,72","0,00",,,,,,,,,,,,,
